Timestamp,Value,Value,Value
27/04/2013 15:09:04,-31.962048,28.734058,11.277634
27/04/2013 15:09:02,-31.961477,28.733543,0
27/04/2013 15:07:17,-31.961482,28.733543,0
27/04/2013 15:06:45,-31.960583,28.732897,13.475622
27/04/2013 15:06:15,-31.959253,28.731842,16.295031
27/04/2013 15:05:43,-31.957457,28.730685,17.112084
27/04/2013 15:05:13,-31.956242,28.729343,9.482419
27/04/2013 15:04:43,-31.955488,28.727853,14.131566
27/04/2013 15:04:11,-31.955107,28.726165,15.109728
27/04/2013 15:03:39,-31.954447,28.723808,18.331909
27/04/2013 15:03:10,-31.95356,28.721803,15.696626
27/04/2013 15:02:38,-31.952658,28.720162,10.920893
27/04/2013 15:02:07,-31.951753,28.718683,13.164912
27/04/2013 15:01:37,-31.951108,28.71709,12.083179
27/04/2013 15:01:07,-31.950518,28.715592,11.220095
27/04/2013 15:01:05,-31.949815,28.714245,11.634376
27/04/2013 15:00:03,-31.949552,28.713423,0
27/04/2013 14:59:33,-31.949552,28.713423,0
27/04/2013 14:59:09,-31.949328,28.712417,22.002894
27/04/2013 14:58:31,-31.951345,28.710942,29.851207
27/04/2013 14:58:00,-31.953953,28.707723,35.605102
27/04/2013 14:57:29,-31.956227,28.703652,37.446349
27/04/2013 14:56:58,-31.959867,28.70135,21.427505
27/04/2013 14:56:27,-31.962438,28.698703,33.349575
27/04/2013 14:55:57,-31.96449,28.695155,34.903127
27/04/2013 14:55:25,-31.969238,28.694352,40.426866
27/04/2013 14:54:55,-31.972762,28.691398,30.656753
27/04/2013 14:54:23,-31.973417,28.687337,27.572665
27/04/2013 14:53:53,-31.97134,28.684435,28.102023
27/04/2013 14:53:21,-31.969392,28.683592,13.049834
27/04/2013 14:52:50,-31.967712,28.684193,14.396245
27/04/2013 14:52:19,-31.967455,28.684165,0
27/04/2013 14:51:48,-31.967458,28.684162,0
27/04/2013 14:51:17,-31.967102,28.684075,1.277365
27/04/2013 14:50:46,-31.967095,28.684068,0
27/04/2013 14:50:15,-31.967097,28.684067,0
27/04/2013 14:49:44,-31.9671,28.684065,0
27/04/2013 14:49:13,-31.967102,28.684063,0
27/04/2013 14:48:42,-31.967102,28.684062,0
27/04/2013 14:48:11,-31.9671,28.68406,0
27/04/2013 14:47:40,-31.9671,28.68406,0
27/04/2013 14:47:09,-31.967102,28.68406,0
27/04/2013 14:46:50,-31.967103,28.684062,0
27/04/2013 14:46:48,-31.967105,28.684063,0
27/04/2013 14:46:46,-31.967105,28.684072,0.172617
27/04/2013 14:45:00,-31.967118,28.68412,0
27/04/2013 14:44:29,-31.96712,28.684122,0
27/04/2013 14:43:58,-31.96712,28.684123,0
27/04/2013 14:43:27,-31.967122,28.684123,0
27/04/2013 14:42:56,-31.96712,28.684125,0
27/04/2013 14:42:26,-31.96712,28.684125,0
27/04/2013 14:41:55,-31.967118,28.684125,0
27/04/2013 14:41:23,-31.967118,28.684125,0
27/04/2013 14:40:52,-31.967118,28.684125,0
27/04/2013 14:40:21,-31.967117,28.684127,0
27/04/2013 14:39:52,-31.967115,28.684127,0
27/04/2013 14:39:20,-31.967113,28.684127,0
27/04/2013 14:38:50,-31.967113,28.684128,0
27/04/2013 14:38:18,-31.967113,28.68413,0
27/04/2013 14:37:47,-31.967113,28.68413,0
27/04/2013 14:37:16,-31.967113,28.68413,0
27/04/2013 14:36:45,-31.967113,28.684132,0
27/04/2013 14:36:14,-31.967112,28.684132,0
27/04/2013 14:35:43,-31.96711,28.684132,0
27/04/2013 14:35:12,-31.96711,28.684132,0
27/04/2013 14:34:41,-31.967108,28.684132,0
27/04/2013 14:34:11,-31.967108,28.684132,0
27/04/2013 14:33:40,-31.967107,28.684133,0
27/04/2013 14:33:09,-31.967107,28.684133,0
27/04/2013 14:32:38,-31.967105,28.684133,0
27/04/2013 14:32:07,-31.967105,28.684133,0
27/04/2013 14:31:35,-31.967103,28.684133,0
27/04/2013 14:31:05,-31.967102,28.684133,0
27/04/2013 14:30:34,-31.967102,28.684133,0
27/04/2013 14:30:03,-31.967102,28.684133,0
27/04/2013 14:29:32,-31.967097,28.684133,0
27/04/2013 14:29:01,-31.967097,28.684133,0
27/04/2013 14:28:30,-31.967092,28.684135,0
27/04/2013 14:27:59,-31.96709,28.684135,0
27/04/2013 14:27:29,-31.967087,28.684135,0
27/04/2013 14:26:57,-31.96704,28.684133,1.012686
27/04/2013 14:26:26,-31.967067,28.684127,0
27/04/2013 14:25:55,-31.967067,28.684125,0
27/04/2013 14:25:25,-31.967067,28.684125,0
27/04/2013 14:24:54,-31.967067,28.684122,0
27/04/2013 14:24:23,-31.967065,28.68412,0
27/04/2013 14:23:52,-31.96707,28.684112,0
27/04/2013 14:23:21,-31.966965,28.683983,9.206232
27/04/2013 14:22:50,-31.968375,28.683993,13.786332
27/04/2013 14:22:19,-31.969802,28.68353,7.595141
27/04/2013 14:21:48,-31.970228,28.683735,13.751809
27/04/2013 14:21:17,-31.972648,28.685425,30.276995
27/04/2013 14:20:47,-31.97321,28.690412,35.915813
27/04/2013 14:20:15,-31.97013,28.693897,38.205863
27/04/2013 14:19:44,-31.965353,28.694953,38.746729
27/04/2013 14:19:13,-31.962463,28.698823,35.743196
27/04/2013 14:18:43,-31.959523,28.70142,34.339245
27/04/2013 14:18:11,-31.955135,28.704823,39.322118
27/04/2013 14:17:40,-31.953012,28.70967,33.395607
27/04/2013 14:17:09,-31.949662,28.712222,22.23305
27/04/2013 14:16:39,-31.949183,28.712575,2.08291
27/04/2013 14:16:15,-31.946148,28.714245,24.246914
27/04/2013 14:16:13,-31.94551,28.714622,0
27/04/2013 14:15:06,-31.94551,28.714622,0
27/04/2013 14:14:35,-31.945512,28.714622,0
27/04/2013 14:14:04,-31.945512,28.714622,0
27/04/2013 14:13:34,-31.945512,28.714622,0
27/04/2013 14:13:02,-31.943127,28.715892,39.253072
27/04/2013 14:12:32,-31.938195,28.717235,35.628118
27/04/2013 14:12:00,-31.933425,28.718133,37.423333
27/04/2013 14:11:30,-31.928798,28.719647,39.816953
27/04/2013 14:10:58,-31.924102,28.720373,33.717825
27/04/2013 14:10:27,-31.919337,28.719992,39.529259
27/04/2013 14:09:57,-31.914443,28.718367,41.370505
27/04/2013 14:09:26,-31.90952,28.718827,44.224437
27/04/2013 14:08:54,-31.904973,28.717735,34.695987
27/04/2013 14:08:24,-31.903145,28.717898,4.890811
27/04/2013 14:07:53,-31.90031,28.71979,36.157476
27/04/2013 14:07:21,-31.896745,28.72017,31.796024
27/04/2013 14:06:50,-31.892955,28.718782,32.601569
27/04/2013 14:06:21,-31.888618,28.718907,35.938828
27/04/2013 14:05:49,-31.886103,28.719803,0
27/04/2013 14:05:17,-31.8856,28.720428,30.012316
27/04/2013 14:04:47,-31.88533,28.725195,32.394429
27/04/2013 14:04:16,-31.884645,28.729077,22.727885
27/04/2013 14:03:44,-31.885593,28.733438,31.577376
27/04/2013 14:03:14,-31.885752,28.73793,33.32656
27/04/2013 14:02:43,-31.885875,28.743125,34.788049
27/04/2013 14:02:22,-31.883982,28.747617,34.247183
27/04/2013 14:02:20,-31.879712,28.749335,36.91699
27/04/2013 14:02:18,-31.877788,28.751833,24.408023
27/04/2013 13:58:01,-31.871088,28.757055,15.247822
27/04/2013 13:57:31,-31.868837,28.757845,17.158115
27/04/2013 13:57:00,-31.867263,28.758703,10.610182
27/04/2013 13:56:31,-31.867098,28.759342,1.818231
27/04/2013 13:55:57,-31.867098,28.759512,0.20714
27/04/2013 13:55:26,-31.867098,28.75951,0
27/04/2013 13:54:56,-31.867098,28.75951,0
27/04/2013 13:54:25,-31.867097,28.75951,0
27/04/2013 13:53:54,-31.867097,28.759508,0
27/04/2013 13:53:23,-31.867097,28.759508,0
27/04/2013 13:52:52,-31.867097,28.759508,0
27/04/2013 13:52:21,-31.867097,28.759508,0
27/04/2013 13:51:51,-31.867098,28.759508,0
27/04/2013 13:51:19,-31.867098,28.759508,0
27/04/2013 13:50:48,-31.8671,28.759508,0
27/04/2013 13:50:17,-31.8671,28.759508,0
27/04/2013 13:49:47,-31.8671,28.759508,0
27/04/2013 13:49:15,-31.8671,28.759508,0
27/04/2013 13:48:44,-31.8671,28.759507,0
27/04/2013 13:48:13,-31.867103,28.7595,0
27/04/2013 13:47:42,-31.867105,28.759498,0
27/04/2013 13:47:11,-31.867105,28.7595,0
27/04/2013 13:46:40,-31.867105,28.7595,0
27/04/2013 13:46:09,-31.867105,28.759502,0
27/04/2013 13:45:39,-31.867105,28.759502,0
27/04/2013 13:45:08,-31.867105,28.759502,0
27/04/2013 13:44:48,-31.867105,28.759503,0
27/04/2013 13:44:46,-31.86712,28.759503,0
27/04/2013 13:44:43,-31.867128,28.759478,0.034523
27/04/2013 11:58:51,-31.867092,28.75948,0
27/04/2013 11:58:20,-31.86709,28.759482,0
27/04/2013 11:57:49,-31.86709,28.759483,0
27/04/2013 11:57:19,-31.86709,28.759485,0
27/04/2013 11:56:47,-31.86709,28.759485,0
27/04/2013 11:56:16,-31.86709,28.759487,0
27/04/2013 11:55:47,-31.86709,28.759487,0
27/04/2013 11:55:15,-31.86709,28.759487,0
27/04/2013 11:54:44,-31.867092,28.759488,0
27/04/2013 11:54:13,-31.867092,28.759488,0
27/04/2013 11:53:42,-31.867093,28.759488,0
27/04/2013 11:53:11,-31.867093,28.759488,0
27/04/2013 11:52:41,-31.867095,28.759488,0
27/04/2013 11:52:09,-31.867097,28.759485,0.230156
27/04/2013 11:51:38,-31.867097,28.759482,0
27/04/2013 11:51:07,-31.867097,28.759483,0
27/04/2013 11:50:36,-31.867098,28.759483,0
27/04/2013 11:50:05,-31.867098,28.759483,0
27/04/2013 11:49:35,-31.867098,28.759483,0
27/04/2013 11:49:04,-31.867098,28.759482,0
27/04/2013 11:48:33,-31.8671,28.759482,0
27/04/2013 11:48:02,-31.8671,28.759482,0
27/04/2013 11:47:31,-31.8671,28.759482,0
27/04/2013 11:47:00,-31.867102,28.759482,0
27/04/2013 11:46:29,-31.867102,28.759482,0
27/04/2013 11:45:58,-31.867103,28.759482,0
27/04/2013 11:45:27,-31.867103,28.759482,0
27/04/2013 11:44:56,-31.867105,28.759482,0
27/04/2013 11:44:25,-31.867105,28.759482,0
27/04/2013 11:43:54,-31.867105,28.759483,0
27/04/2013 11:43:23,-31.867107,28.759483,0
27/04/2013 11:42:52,-31.867107,28.759483,0
27/04/2013 11:42:22,-31.867107,28.759483,0
27/04/2013 11:41:51,-31.867108,28.759483,0
27/04/2013 11:41:20,-31.867108,28.759482,0
27/04/2013 11:40:50,-31.867108,28.759482,0
27/04/2013 11:40:18,-31.867108,28.759482,0
27/04/2013 11:39:47,-31.86711,28.75948,0
27/04/2013 11:39:16,-31.86711,28.75948,0
27/04/2013 11:38:45,-31.86711,28.75948,0
27/04/2013 11:38:15,-31.86711,28.75948,0
27/04/2013 11:37:43,-31.86711,28.75948,0
27/04/2013 11:37:12,-31.86711,28.75948,0
27/04/2013 11:36:41,-31.867108,28.759482,0
27/04/2013 11:36:13,-31.867108,28.759482,0
27/04/2013 11:35:40,-31.867108,28.759482,0
27/04/2013 11:35:08,-31.867108,28.759483,0
27/04/2013 11:34:39,-31.867108,28.759483,0
27/04/2013 11:34:06,-31.867108,28.759483,0
27/04/2013 11:33:36,-31.867108,28.759483,0
27/04/2013 11:33:05,-31.867108,28.759483,0
27/04/2013 11:32:34,-31.867108,28.759483,0
27/04/2013 11:32:03,-31.867108,28.759483,0
27/04/2013 11:31:32,-31.867108,28.759483,0
27/04/2013 11:31:01,-31.867105,28.759482,0
27/04/2013 11:30:31,-31.867105,28.759482,0
27/04/2013 11:29:59,-31.867103,28.759482,0
27/04/2013 11:29:28,-31.867103,28.759482,0
27/04/2013 11:28:57,-31.867103,28.759482,0
27/04/2013 11:28:26,-31.867103,28.759482,0
27/04/2013 11:27:55,-31.867103,28.759482,0
27/04/2013 11:27:25,-31.867103,28.759482,0
27/04/2013 11:26:53,-31.867103,28.759482,0
27/04/2013 11:26:22,-31.867105,28.759482,0
27/04/2013 11:25:52,-31.867105,28.759482,0
27/04/2013 11:25:22,-31.867105,28.75948,0
27/04/2013 11:24:50,-31.867105,28.759478,0
27/04/2013 11:24:19,-31.867108,28.759478,0
27/04/2013 11:23:48,-31.867112,28.759478,0
27/04/2013 11:23:17,-31.867112,28.759477,0
27/04/2013 11:22:46,-31.867113,28.759477,0
27/04/2013 11:22:15,-31.867113,28.759478,0
27/04/2013 11:21:44,-31.867115,28.759478,0
27/04/2013 11:21:13,-31.867117,28.759478,0
27/04/2013 11:20:42,-31.867118,28.759478,0
27/04/2013 11:20:11,-31.86712,28.759478,0
27/04/2013 11:19:51,-31.867122,28.75948,0
27/04/2013 11:19:49,-31.867123,28.75948,0
27/04/2013 11:19:46,-31.867125,28.75948,0
27/04/2013 11:19:44,-31.867125,28.75948,0
27/04/2013 11:19:42,-31.86713,28.759478,0.057539
27/04/2013 11:19:40,-31.867133,28.759478,0
27/04/2013 11:19:13,-31.867088,28.759477,0
27/04/2013 11:19:11,-31.867105,28.759075,4.418991
27/04/2013 11:19:07,-31.867822,28.758305,11.542313
27/04/2013 11:19:04,-31.869493,28.757757,16.364077
27/04/2013 11:19:02,-31.871212,28.756948,14.361722
27/04/2013 11:18:58,-31.87311,28.756063,18.193816
27/04/2013 11:18:56,-31.875057,28.755015,18.780713
27/04/2013 11:18:52,-31.875098,28.753732,37.193177
27/04/2013 11:18:49,-31.870718,28.753367,26.778627
27/04/2013 11:18:47,-31.868582,28.75377,0
27/04/2013 11:18:43,-31.868365,28.753787,21.34695
27/04/2013 11:18:41,-31.864553,28.754458,31.232142
27/04/2013 11:18:37,-31.860845,28.756738,32.85474
27/04/2013 11:18:35,-31.856672,28.754292,57.769106
27/04/2013 11:18:31,-31.855928,28.746218,47.147416
27/04/2013 11:18:28,-31.85051,28.746913,43.614524
27/04/2013 11:18:25,-31.84481,28.74634,46.203777
27/04/2013 11:18:22,-31.841198,28.752465,52.889803
27/04/2013 11:18:19,-31.839638,28.758813,32.463476
27/04/2013 11:08:57,-31.834283,28.758382,46.34187
27/04/2013 11:08:55,-31.829443,28.758917,43.303814
27/04/2013 11:08:53,-31.824517,28.759888,35.51304
27/04/2013 11:07:10,-31.822615,28.76077,0
27/04/2013 11:07:08,-31.822615,28.760768,0
27/04/2013 11:04:21,-31.822615,28.760768,0
