Timestamp,Latitude,Longitude,Value
08/04/2013 03:40:31,-33.876958,18.807803,50.657292
08/04/2013 03:40:00,-33.878028,18.80075,44.799826
08/04/2013 03:39:29,-33.877992,18.792938,53.499716
08/04/2013 03:38:58,-33.87793,18.785218,52.417983
08/04/2013 03:38:27,-33.877825,18.777112,54.546925
08/04/2013 03:37:56,-33.877618,18.769055,53.027896
08/04/2013 03:37:25,-33.880738,18.762157,54.431847
08/04/2013 03:36:56,-33.883018,18.754808,47.112892
08/04/2013 03:36:54,-33.88563,18.748723,42.199066
08/04/2013 03:35:53,-33.887258,18.745732,17.745012
08/04/2013 03:35:25,-33.88369,18.74264,42.924057
08/04/2013 03:34:52,-33.87976,18.740088,28.976615
08/04/2013 03:34:20,-33.876145,18.737708,36.560249
08/04/2013 03:33:50,-33.872137,18.735055,35.294392
08/04/2013 03:33:18,-33.868333,18.732667,19.816414
08/04/2013 03:32:47,-33.864505,18.735068,40.852654
08/04/2013 03:32:16,-33.859905,18.736603,31.565868
08/04/2013 03:31:45,-33.85741,18.738673,17.422794
08/04/2013 03:31:15,-33.857193,18.739035,0
08/04/2013 03:30:43,-33.857193,18.739035,0
08/04/2013 03:30:12,-33.857193,18.739037,0
08/04/2013 03:29:41,-33.857193,18.739037,0
08/04/2013 03:29:11,-33.857193,18.739038,0
08/04/2013 03:28:40,-33.85719,18.739042,1.035701
08/04/2013 03:28:09,-33.85752,18.740315,13.233958
08/04/2013 03:27:38,-33.858397,18.742343,16.858912
08/04/2013 03:27:07,-33.858595,18.742845,3.417814
08/04/2013 03:26:36,-33.85821,18.74201,8.872506
08/04/2013 03:26:05,-33.857828,18.741103,0.748006
08/04/2013 03:25:34,-33.857383,18.740078,0
08/04/2013 03:25:03,-33.857383,18.740078,0
08/04/2013 03:24:32,-33.857383,18.740077,0
08/04/2013 03:24:01,-33.85738,18.740077,0
08/04/2013 03:23:31,-33.85738,18.740077,0
08/04/2013 03:22:59,-33.85738,18.740078,0
08/04/2013 03:22:28,-33.85738,18.740078,0
08/04/2013 03:21:58,-33.85738,18.740078,0.172617
08/04/2013 03:21:27,-33.857363,18.740027,6.409839
08/04/2013 03:20:56,-33.857265,18.739792,1.150779
08/04/2013 03:20:25,-33.857027,18.739267,3.866617
08/04/2013 03:19:54,-33.855307,18.740137,13.153404
08/04/2013 03:19:23,-33.853008,18.74134,27.745282
08/04/2013 03:18:52,-33.851078,18.741262,31.151588
08/04/2013 03:18:21,-33.84784,18.737852,27.354017
08/04/2013 03:17:51,-33.845963,18.736232,26.847674
08/04/2013 03:17:19,-33.842412,18.73603,34.719002
08/04/2013 03:16:48,-33.838965,18.735722,13.820856
08/04/2013 03:16:17,-33.837465,18.735738,9.758606
08/04/2013 03:15:46,-33.834552,18.739583,47.929945
08/04/2013 03:15:16,-33.832372,18.747173,59.253611
08/04/2013 03:14:44,-33.830093,18.755247,59.955586
08/04/2013 03:14:14,-33.827715,18.763823,59.736938
08/04/2013 03:13:42,-33.825395,18.772175,56.606819
08/04/2013 03:13:11,-33.82322,18.779958,55.386993
08/04/2013 03:12:40,-33.820938,18.788168,56.560788
08/04/2013 03:12:09,-33.818597,18.796465,60.92224
08/04/2013 03:11:38,-33.816137,18.805195,60.749623
08/04/2013 03:11:07,-33.813673,18.813978,59.506782
08/04/2013 03:10:39,-33.811327,18.82243,58.896869
08/04/2013 03:10:05,-33.80913,18.830257,54.627479
08/04/2013 03:09:46,-33.806778,18.838633,58.079816
08/04/2013 03:09:44,-33.804587,18.846475,56.468726
08/04/2013 03:09:42,-33.802878,18.852623,55.410009
08/04/2013 03:07:55,-33.79985,18.863847,56.158015
08/04/2013 03:07:25,-33.798367,18.872497,59.852016
08/04/2013 03:06:53,-33.796913,18.88127,53.994551
08/04/2013 03:06:23,-33.795567,18.88817,48.8966
08/04/2013 03:05:52,-33.794018,18.895765,53.350114
08/04/2013 03:05:21,-33.79245,18.903435,52.48703
08/04/2013 03:04:50,-33.790907,18.910898,48.723983
08/04/2013 03:04:19,-33.78939,18.918275,50.703323
08/04/2013 03:03:47,-33.787947,18.925378,49.725161
08/04/2013 03:03:16,-33.786478,18.9325,50.933479
08/04/2013 03:02:45,-33.784862,18.94048,57.584981
08/04/2013 03:02:14,-33.782368,18.948198,60.162726
08/04/2013 03:01:44,-33.777885,18.954732,51.808071
08/04/2013 03:01:13,-33.77356,18.960698,57.009592
08/04/2013 03:00:42,-33.76868,18.967445,62.337698
08/04/2013 03:00:19,-33.763722,18.974317,59.610352
08/04/2013 03:00:17,-33.758598,18.981408,60.392882
08/04/2013 03:00:15,-33.753487,18.988475,69.15031
08/04/2013 03:00:13,-33.748282,18.995693,60.553991
08/04/2013 03:00:11,-33.744443,19.001082,66.492011
08/04/2013 02:59:42,-32.40104,22.673737,73.615333
08/04/2013 02:59:39,-32.406343,22.682415,73.051451
08/04/2013 02:59:36,-32.411705,22.691195,73.960566
